SGP_VRaw,SGP_NRaw,SGP_Vin,SGP_Nin,STC_CO2,STC_Temp,ENS_VOC,MiCO,MiNO2,MiNH3,GMVOC,GMODO,GMSMO,GMETH,GMH2S,Label
19486,8222,100,1,-8.58,0,48,4320,13247,263,1491,32767,13354,14057,18790,3
19492,8216,100,1,-8.28,0,48,4279,13248,262,1491,32767,13352,14020,18790,3
19494,8224,100,1,-8.58,0,42,4257,13245,262,1490,32767,13344,13982,18794,3
19483,8222,100,1,-8.36,0,43,4241,13239,261,1488,32767,13348,14000,18800,3
19475,8226,100,1,-8.6,0,48,4267,13233,261,1488,32767,13343,14018,18793,3
19479,8222,100,1,-8.36,0,50,4283,13231,261,1488,32767,13326,14012,18784,3
19471,8224,100,1,-8.47,0,48,4299,13226,261,1488,32767,13325,14016,18779,3
19482,8223,100,1,-8.43,0,53,4297,13218,261,1487,32767,13345,14045,18778,3
19484,8227,100,1,-8.76,0,60,4289,13214,261,1488,32767,13352,14063,18787,3
19480,8219,100,1,-8.51,0,49,4289,13214,261,1488,32767,13346,14063,18792,3
19473,8226,100,1,-8.68,0,49,4295,13214,262,1488,32767,13355,14072,18793,3
19475,8220,100,1,-8.61,0,55,4288,13213,262,1489,32767,13360,14092,18793,3
19484,8227,100,1,-8.5,0,51,4298,13215,262,1489,32767,13363,14091,18799,3
19486,8227,100,1,-8.36,0,49,4295,13217,262,1489,32767,13364,14076,18799,3
19485,8224,100,1,-8.46,0,41,4271,13220,262,1489,32767,13361,14041,18803,3
19469,8218,100,1,-8.6,0,47,4256,13221,261,1489,32767,13360,14018,18807,3
19475,8227,100,1,-8.43,0,50,4251,13218,261,1487,32767,13360,14013,18802,3
19486,8224,100,1,-8.68,0,54,4262,13219,261,1487,32767,13360,14011,18804,3
19486,8225,100,1,-8.83,0,49,4268,13217,261,1487,32767,13361,14018,18810,3
19477,8226,100,1,-8.39,0,53,4276,13221,261,1487,32767,13361,14024,18813,3
19477,8224,100,1,-8.69,0,54,4291,13224,262,1488,32767,13365,14032,18814,3
19483,8222,100,1,-8.55,0,54,4293,13224,262,1488,32767,13365,14045,18813,3
19486,8227,100,1,-8.85,0,44,4291,13225,262,1489,32767,13362,14041,18817,3
19485,8227,100,1,-8.35,0,53,4297,13229,262,1489,32767,13362,14034,18819,3
19489,8233,100,1,-8.63,0,45,4269,13228,262,1489,32767,13359,13987,18819,3
19492,8217,100,1,-8.55,0,47,4259,13227,261,1489,32767,13355,13983,18819,3
19485,8226,100,1,-8.53,0,49,4253,13223,261,1488,32767,13362,14001,18822,3
19485,8227,100,1,-8.77,0,56,4274,13221,261,1488,32767,13359,14016,18829,3
19490,8228,100,1,-8.57,0,43,4291,13221,261,1488,32767,13364,14036,18825,3
19478,8230,100,1,-8.64,0,52,4311,13225,262,1490,32767,13367,14061,18829,3
19478,8223,100,1,-8.31,0,45,4321,13229,262,1491,32767,13369,14084,18832,3
19485,8227,100,1,-8.62,0,49,4333,13234,263,1492,32767,13371,14105,18837,3
19501,8226,100,1,-8.76,0,49,4334,13238,263,1492,32767,13374,14128,18844,3
19492,8225,100,1,-8.31,0,43,4337,13243,263,1493,32767,13377,14135,18840,3
19494,8223,100,1,-8.49,0,43,4340,13248,263,1494,32767,13376,14144,18843,3
19490,8227,100,1,-8.59,0,47,4326,13250,263,1494,32767,13377,14129,18844,3
19499,8222,100,1,-8.54,0,49,4304,13252,263,1493,32767,13380,14119,18846,3
19505,8218,100,1,-8.51,0,51,4303,13250,262,1493,32767,13378,14114,18850,3
19507,8220,100,1,-8.16,0,47,4298,13251,262,1492,32767,13379,14119,18850,3
19487,8229,100,1,-8.24,0,47,4300,13252,262,1492,32767,13375,14102,18847,3
19493,8225,100,1,-8.25,0,53,4301,13253,262,1493,32767,13380,14106,18854,3
19496,8223,100,1,-8.51,0,54,4300,13253,262,1493,32767,13379,14103,18854,3
19486,8225,100,1,-8.61,0,43,4307,13254,262,1493,32767,13377,14108,18857,3
19500,8223,100,1,-8.64,0,54,4314,13256,262,1493,32767,13380,14117,18855,3
19491,8232,100,1,-8.6,0,51,4314,13256,263,1493,32767,13380,14119,18860,3
19490,8229,100,1,-8.39,0,51,4316,13255,263,1493,32767,13369,14115,18860,3
19485,8227,100,1,-8.24,0,51,4311,13257,263,1494,32767,13374,14112,18860,3
19496,8233,100,1,-8.35,0,55,4302,13256,262,1493,32767,13375,14097,18862,3
19485,8221,100,1,-8.51,0,59,4286,13255,262,1493,32767,13366,14054,18861,3
19489,8223,100,1,-8.68,0,54,4264,13251,262,1492,32767,13371,14054,18864,3
19492,8224,100,1,-8.32,0,56,4260,13248,261,1491,32767,13365,14052,18861,3
19480,8227,100,1,-8.52,0,53,4282,13244,262,1491,32767,13361,14057,18856,3
19483,8227,100,1,-8.61,0,62,4285,13241,262,1491,32767,13364,14046,18861,3
19492,8218,100,1,-8.57,0,53,4277,13241,262,1491,32767,13366,14043,18863,3
19485,8226,100,1,-8.37,0,53,4274,13238,262,1491,32767,13362,14025,18860,3
19487,8225,100,1,-8.7,0,53,4274,13236,261,1490,32767,13362,14009,18865,3
19483,8226,100,1,-8.66,0,51,4266,13235,261,1490,32767,13359,13998,18863,3
19499,8230,100,1,-8.51,0,51,4261,13231,261,1489,32767,13360,13990,18862,3
19483,8229,100,1,-8.21,0,51,4261,13230,261,1490,32767,13343,13971,18866,3
19475,8225,100,1,-8.51,0,55,4257,13229,261,1489,32767,13349,13971,18870,3
19473,8222,100,1,-8.58,0,62,4257,13225,261,1489,32767,13348,13952,18870,3
19473,8236,100,1,-8.68,0,59,4247,13225,261,1489,32767,13348,13945,18869,3
19478,8218,100,1,-8.58,0,50,4249,13222,261,1488,32767,13341,13915,18868,3
19469,8230,100,1,-8.22,0,57,4236,13220,261,1488,32767,13338,13877,18869,3
19476,8229,100,1,-8.57,0,53,4215,13215,260,1486,32767,13329,13829,18864,3
19477,8223,100,1,-8.57,0,58,4201,13208,260,1485,32767,13330,13807,18870,3
19476,8231,100,1,-8.57,0,63,4211,13202,260,1484,32767,13330,13805,18868,3
19464,8228,100,1,-8.79,0,60,4213,13199,260,1484,32767,13326,13811,18873,3
19468,8221,100,1,-8.63,0,60,4241,13200,260,1484,32767,13318,13814,18871,3
19469,8229,100,1,-8.64,0,64,4253,13198,260,1485,32767,13324,13849,18872,3
19465,8226,100,1,-8.42,0,62,4271,13199,261,1485,32767,13325,13868,18868,3
19473,8224,100,1,-8.69,0,65,4279,13198,261,1486,32767,13322,13885,18867,3
19473,8225,100,1,-8.58,0,73,4283,13201,261,1487,32767,13315,13871,18864,3
19483,8229,100,1,-8.7,0,64,4274,13205,261,1488,32767,13323,13892,18869,3
19482,8227,100,1,-8.7,0,68,4267,13207,261,1488,32767,13321,13892,18868,3
19480,8230,100,1,-8.42,0,66,4278,13209,261,1488,32767,13317,13900,18861,3
19486,8220,100,1,-8.7,0,64,4280,13205,261,1488,32767,13327,13921,18863,3
19490,8230,100,1,-8.45,0,62,4274,13207,261,1488,32767,13326,13926,18867,3
19487,8229,100,1,-8.6,0,66,4263,13204,261,1488,32767,13332,13920,18872,3
19480,8225,100,1,-8.39,0,53,4257,13207,261,1488,32767,13331,13897,18878,3
19479,8227,100,1,-8.64,0,57,4245,13207,261,1487,32767,13329,13864,18879,3
19487,8229,100,1,-8.61,0,53,4229,13205,261,1486,32767,13324,13826,18880,3
19483,8224,100,1,-8.57,0,59,4218,13203,260,1486,32767,13320,13787,18880,3
19482,8223,100,1,-8.47,0,57,4216,13202,260,1485,32767,13319,13774,18879,3
19463,8223,100,1,-8.61,0,48,4217,13199,260,1485,32767,13317,13764,18885,3
19476,8224,100,1,-8.51,0,61,4228,13201,260,1485,32767,13321,13775,18890,3
19478,8221,100,1,-8.44,0,54,4246,13199,260,1485,32767,13318,13785,18888,3
19457,8222,100,1,-8.47,0,53,4250,13202,260,1486,32767,13317,13788,18893,3
19469,8225,100,1,-8.37,0,47,4259,13206,261,1487,32767,13319,13793,18895,3
19472,8220,100,1,-8.57,0,57,4260,13210,261,1487,32767,13320,13803,18892,3
